clocks.current.sm [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
1200 MHz, 68.82 W, 55, 0x0000000000000004
1215 MHz, 68.82 W, 55, 0x0000000000000004
1200 MHz, 69.37 W, 55, 0x0000000000000004
1200 MHz, 69.37 W, 55, 0x0000000000000004
1200 MHz, 69.37 W, 55, 0x0000000000000004
1200 MHz, 69.02 W, 55, 0x0000000000000004
1200 MHz, 69.02 W, 55, 0x0000000000000004
1215 MHz, 69.51 W, 55, 0x0000000000000004
1215 MHz, 69.51 W, 55, 0x0000000000000004
1215 MHz, 62.14 W, 55, 0x0000000000000004
1320 MHz, 62.14 W, 55, 0x0000000000000004
1305 MHz, 67.49 W, 55, 0x0000000000000004
1335 MHz, 67.49 W, 55, 0x0000000000000004
1320 MHz, 73.14 W, 55, 0x0000000000000004
1335 MHz, 73.14 W, 55, 0x0000000000000004
1335 MHz, 73.14 W, 55, 0x0000000000000004
1320 MHz, 66.96 W, 55, 0x0000000000000004
1290 MHz, 66.96 W, 55, 0x0000000000000004
1290 MHz, 72.16 W, 55, 0x0000000000000004
1290 MHz, 72.16 W, 55, 0x0000000000000004
1260 MHz, 70.59 W, 55, 0x0000000000000004
1290 MHz, 70.59 W, 55, 0x0000000000000004
1290 MHz, 67.20 W, 55, 0x0000000000000004
1350 MHz, 67.20 W, 55, 0x0000000000000004
1305 MHz, 73.53 W, 55, 0x0000000000000004
1350 MHz, 73.53 W, 55, 0x0000000000000004
1260 MHz, 73.53 W, 56, 0x0000000000000004
1260 MHz, 68.98 W, 55, 0x0000000000000004
1260 MHz, 68.82 W, 55, 0x0000000000000004
1215 MHz, 68.82 W, 56, 0x0000000000000004
1200 MHz, 68.82 W, 56, 0x0000000000000004
1215 MHz, 68.82 W, 55, 0x0000000000000004
1230 MHz, 68.82 W, 55, 0x0000000000000004
1290 MHz, 61.59 W, 55, 0x0000000000000004
1335 MHz, 61.59 W, 56, 0x0000000000000004
1260 MHz, 61.59 W, 56, 0x0000000000000004
1200 MHz, 69.96 W, 56, 0x0000000000000004
1200 MHz, 69.96 W, 56, 0x0000000000000004
1185 MHz, 69.96 W, 56, 0x0000000000000004
1185 MHz, 69.12 W, 56, 0x0000000000000004
1200 MHz, 69.12 W, 56, 0x0000000000000004
1200 MHz, 69.12 W, 56, 0x0000000000000004
1200 MHz, 69.12 W, 56, 0x0000000000000004
1200 MHz, 69.12 W, 56, 0x0000000000000004
1200 MHz, 69.12 W, 56, 0x0000000000000004
1200 MHz, 69.12 W, 56, 0x0000000000000004
1185 MHz, 69.37 W, 56, 0x0000000000000004
1185 MHz, 69.37 W, 56, 0x0000000000000004
1185 MHz, 69.37 W, 56, 0x0000000000000004
1200 MHz, 69.37 W, 56, 0x0000000000000004
1200 MHz, 68.88 W, 56, 0x0000000000000004
1200 MHz, 68.88 W, 56, 0x0000000000000004
